,Name,Goal,GPG,Assist,APG,Block,BPG,Turn,TPG,Games,Standing,Spirit,wg13,Team_BENT,Team_BRUTESQUAD,Team_FURY,Team_GREENMEANSGO,Team_HEIST,Team_MOLLYBROWN,Team_NEMESIS,Team_NIGHTLOCK,Team_OZONE,Team_PHOENIX,Team_RIOT,Team_SCANDAL,Team_SCHWA,Team_SHOWDOWN,Team_TABBYROSA,Team_TEAMUSA,Team_UNDERGROUND,wugc16_tryouts,Team_WUGC16
419,MARISA RAFTER,2.66666666667,0.559523809524,3.66666666667,0.77380952381,0.0,0.0,2.0,0.333333333333,5.66666666667,7.66666666667,9.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
420,MARISA WILSON,2.0,0.333333333333,0.0,0.0,0.0,0.0,2.0,0.333333333333,6.0,13.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
421,MARISSA HICKS,3.0,0.428571428571,1.0,0.142857142857,,,,,7.0,9.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
422,MARISSA LAND,1.0,0.2,0.0,0.0,,,,,5.0,6.0,11.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
423,MARJO POINDEXTER,4.5,0.842857142857,0.0,0.0,2.0,0.285714285714,1.0,0.142857142857,6.0,5.0,7.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
424,MARTHA GREGORY,3.0,0.428571428571,0.0,0.0,,,,,7.0,14.0,7.43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
425,MARY VANDUYNE,0.5,0.0714285714285,0.5,0.0714285714285,,,,,5.5,10.0,12.855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
426,MAUREEN MCCAMLEY,2.0,0.333333333333,8.0,1.33333333333,2.0,0.333333333333,7.0,1.16666666667,6.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
427,MEERI CHANG,1.0,0.166666666667,1.0,0.166666666667,,,,,6.0,3.0,13.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
428,MEG DUFFY,1.5,0.226190476191,0.5,0.0714285714285,0.0,0.0,0.0,0.0,6.5,10.5,8.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
429,MEG HARRIS,6.33333333333,1.06507936508,2.33333333333,0.333333333333,0.0,0.0,0.0,0.0,6.0,7.66666666667,8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
430,MEGAN COUSINS,2.0,0.355555555556,1.0,0.177777777778,0.0,0.0,0.0,0.0,5.66666666667,7.66666666667,9.62333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
431,MEGAN RANDALL,5.5,0.833333333334,0.5,0.0714285714285,2.0,0.333333333333,2.0,0.333333333333,6.5,13.5,5.715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
432,MEGAN REEVES,1.0,0.25,2.0,0.5,,,,,4.0,16.0,15.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
433,MEGAN SCHOELLHAMER,4.0,0.333333333333,3.0,0.25,,,,,12.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
434,MEGAN TARASI,1.0,0.154761904762,2.0,0.297619047619,0.0,0.0,6.0,1.0,6.5,10.5,8.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
435,MEGAN TORMEY,10.0,2.5,4.0,1.0,,,,,4.0,13.0,11.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
436,MEGHAN MILLER,4.0,0.666666666667,2.0,0.333333333333,4.0,0.666666666667,5.0,0.833333333333,6.0,15.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
437,MELANIE HARVEY,1.0,0.25,9.0,2.25,,,,,4.0,15.0,13.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
438,MEREDITH LEAHY,4.0,0.666666666667,1.0,0.166666666667,1.0,0.166666666667,4.0,0.666666666667,6.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
439,MIA GREENWALD,0.0,0.0,0.0,0.0,1.0,0.166666666667,0.0,0.0,6.0,4.5,8.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
440,MICHAELA FALLON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
441,MICHAELA LEE,3.0,0.625,1.5,0.375,1.0,0.166666666667,0.0,0.0,5.0,8.0,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
442,MICHELA MEISTER,0.75,0.125,0.25,0.0416666666668,0.0,0.0,0.0,0.0,5.25,2.25,10.39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
443,MICHELLE ARCENEAUX,3.0,0.571428571429,1.0,0.2,,,,,6.0,10.5,9.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0
444,MICHELLE FUSTING,3.0,0.75,3.0,0.75,,,,,4.0,16.0,15.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
445,MICHELLE LANDIS,2.0,0.285714285714,0.0,0.0,,,,,7.0,15.0,8.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
446,MICHELLE NG,2.5,0.380952380952,0.0,0.0,0.0,0.0,2.0,0.333333333333,6.5,10.5,8.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
447,MICHELLE RYBAK,0.0,0.0,4.0,0.571428571429,,,,,7.0,14.0,7.43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
448,MINERVA MUZQUIZ,0.0,0.0,2.0,0.333333333333,0.0,0.0,4.0,0.666666666667,6.0,13.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
449,MIRA WALKER,6.33333333333,1.1380952381,4.0,0.701587301587,1.0,0.166666666667,0.0,0.0,6.0,7.66666666667,8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
450,MIRANDA KNOWLES,1.0,0.166666666667,13.0,2.16666666667,0.0,0.0,6.0,1.0,6.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
451,MIRANDA MOORE,0.0,0.0,0.0,0.0,,,,,7.0,14.0,7.43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
452,MOLLY HALLWEAVER,1.0,0.166666666667,3.0,0.5,,,,,6.0,3.0,13.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
453,MOLLY MCKEON,0.5,0.077380952381,0.75,0.119047619047,2.0,0.285714285714,3.0,0.428571428571,5.25,2.25,10.8666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
454,MOLLY MUNSON,1.5,0.321428571429,1.5,0.267857142857,,,,,5.5,10.0,12.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
455,MOLLY ROY,5.33333333333,0.761904761906,2.0,0.285714285714,3.0,0.428571428571,1.0,0.142857142857,7.0,2.66666666667,9.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0
456,MOLLY SINNOTT,11.0,2.75,8.0,2.0,,,,,4.0,12.0,12.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
457,MONICA MATSUMOTO,3.0,0.6,0.0,0.0,,,,,5.0,6.0,11.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
458,MONISHA WHITE,0.0,0.0,0.5,0.0714285714285,,,,,5.5,7.0,12.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
459,NADA TRAMONTE,8.0,1.14285714286,2.0,0.285714285714,,,,,7.0,6.0,11.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
460,NANCY SUN,1.0,0.140476190476,5.8,0.85476190476,0.0,0.0,5.0,0.714285714286,6.6,2.2,10.7925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
461,NASTASIA TANGHERLINI,3.5,0.767857142857,1.5,0.375,,,,,5.5,13.5,9.57,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
462,NAT PLAZA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.166666666667,6.0,11.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
463,NATALIE GREEN,2.0,0.285714285714,6.0,0.857142857143,,,,,7.0,11.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
464,NATALIE GUSTAFSON,1.0,0.25,0.0,0.0,,,,,4.0,15.0,13.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
465,NATASHA WON,4.0,0.571428571429,7.0,1.0,,,,,7.0,7.0,10.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
466,NESS FAJARDO,2.25,0.333333333333,5.75,0.616071428571,4.0,0.571428571429,8.0,1.14285714286,8.0,2.25,10.7925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
467,NHI NGUYEN,1.0,0.166666666667,3.0,0.5,2.0,0.333333333333,2.0,0.333333333333,6.0,11.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
468,NICHOLE SMITH,2.0,0.5,11.0,2.75,,,,,4.0,15.0,13.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
